"arquivo";"palavras";"linhas";"headings";"blocos_codigo";"ocorrencias_checklist";"ocorrencias_simulado";"ocorrencias_commit";"ocorrencias_pratica";"acao_editorial"
"000_AULA_DE_ABERTURA_O_CAMINHO_PARA_SE_TORNAR_ENGENHEIRO_JAVA_BACKEND_ARQUITETO_JAVA.md";"1399";"227";"21";"2";"0";"0";"0";"8";"AJUSTE_LEVE_DE_ESTRUTURA"
"001_M0_01_MAPA_DA_FORMACAO_COMPLETA_E_NIVEIS_DE_CARREIRA_JAVA.md";"3367";"1250";"54";"94";"0";"0";"0";"5";"REORGANIZAR_LEVEMENTE"
"002_M0_02_DIAGNOSTICO_INICIAL_TECNICO_E_PLANO_DE_ESTUDO.md";"2856";"1045";"63";"120";"1";"0";"2";"5";"AJUSTE_LEVE_DE_ESTRUTURA"
"003_M0_03_ORGANIZACAO_DO_WINDOWS_PARA_DESENVOLVIMENTO.md";"2847";"1295";"54";"188";"1";"0";"0";"4";"AJUSTE_LEVE_DE_ESTRUTURA"
"004_M0_04_TERMINAL_POWERSHELL_E_COMANDOS_BASICOS.md";"2884";"1440";"51";"271";"1";"0";"1";"5";"AJUSTE_LEVE_DE_ESTRUTURA"
"005_M0_05_JDK_JRE_JVM_E_ESCOLHA_DE_VERSAO_LTS.md";"3250";"1442";"56";"236";"1";"0";"0";"4";"REORGANIZAR_LEVEMENTE"
"006_M0_06_COMPILACAO_MANUAL_COM_JAVAC.md";"3074";"1439";"51";"267";"1";"0";"0";"4";"REORGANIZAR_LEVEMENTE"
"007_M0_07_INTELLIJ_IDEA_COMMUNITY_COMPLETO.md";"3431";"1342";"51";"182";"1";"0";"1";"5";"REORGANIZAR_LEVEMENTE"
"008_M0_08_DEBUG_INICIAL_NO_INTELLIJ.md";"3223";"1282";"51";"179";"1";"0";"0";"6";"REORGANIZAR_LEVEMENTE"
"009_M0_09_GIT_INSTALACAO_E_CONFIGURACAO_GLOBAL.md";"2973";"1125";"49";"154";"1";"0";"1";"5";"AJUSTE_LEVE_DE_ESTRUTURA"
"010_M0_10_GIT_LOCAL_DO_ZERO.md";"2999";"1406";"58";"243";"1";"0";"17";"4";"AJUSTE_LEVE_DE_ESTRUTURA"
"011_M0_11_GITHUB_E_REPOSITORIO_REMOTO.md";"3756";"1624";"63";"268";"2";"0";"7";"8";"REORGANIZAR_LEVEMENTE"
"012_M0_12_MARKDOWN_PARA_DOCUMENTACAO_TECNICA.md";"3435";"1370";"122";"190";"16";"0";"7";"5";"ENXUGAR_E_MOVER_COMPLEMENTOS"
"013_M0_13_DIARIO_DE_BORDO_E_RASTREABILIDADE_DO_APRENDIZADO.md";"3085";"1183";"86";"167";"4";"0";"10";"10";"REORGANIZAR_LEVEMENTE"
"014_M0_14_CODEX_IA_NO_INTELLIJ_COM_ETICA_E_METODO.md";"4558";"1640";"70";"253";"4";"0";"3";"7";"ENXUGAR_E_MOVER_COMPLEMENTOS"
"015_M0_15_MAVEN_INSTALACAO_E_VALIDACAO_INICIAL_OFICIAL.md";"3040";"1283";"43";"227";"6";"0";"1";"2";"REORGANIZAR_LEVEMENTE"
"016_M0_16_POSTGRESQL_E_DBEAVER_PREPARACAO_OFICIAL.md";"3038";"1196";"49";"169";"5";"0";"1";"5";"REORGANIZAR_LEVEMENTE"
"017_M0_17_POSTMAN_INSOMNIA_E_HTTP_BASICO_OFICIAL.md";"3618";"1790";"77";"297";"5";"0";"1";"7";"REORGANIZAR_LEVEMENTE"
"018_M0_18_DOCKER_DESKTOP_E_WSL2_PREPARACAO_OFICIAL.md";"3744";"1531";"61";"227";"6";"0";"1";"5";"REORGANIZAR_LEVEMENTE"
"019_M0_19_ESTRUTURA_PROFISSIONAL_DO_REPOSITORIO_DE_CURSO_OFICIAL.md";"3056";"1279";"78";"141";"23";"0";"6";"14";"ENXUGAR_E_MOVER_COMPLEMENTOS"
"020_M0_20_CHECKLIST_FINAL_DO_AMBIENTE_OFICIAL.md";"4075";"1436";"91";"173";"64";"0";"2";"2";"REVISAR_COMO_FECHAMENTO_DE_MODULO"
