"numero_aula";"codigo_aula";"modulo";"nome_modulo";"status_aula";"tipo_aula";"titulo_aula";"arquivo_md";"conteudo_principal";"fonte_decisao";"regra_continuidade"
"0";"ABERTURA";"ABERTURA";"Abertura da formacao";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Aula de Abertura — O Caminho para se Tornar Engenheiro Java Backend e Arquiteto de Sistemas";"000_AULA_DE_ABERTURA_O_CAMINHO_PARA_SE_TORNAR_ENGENHEIRO_JAVA_BACKEND_ARQUITETO_JAVA.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"1";"M0.01";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# 001 — M0.01 — Mapa da Formação Completa e Níveis de Carreira Java";"001_M0_01_MAPA_DA_FORMACAO_COMPLETA_E_NIVEIS_DE_CARREIRA_JAVA.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"2";"M0.02";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Diagnóstico inicial";"002_M0_02_DIAGNOSTICO_INICIAL_TECNICO_E_PLANO_DE_ESTUDO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"3";"M0.03";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Formação Java Backend";"003_M0_03_ORGANIZACAO_DO_WINDOWS_PARA_DESENVOLVIMENTO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"4";"M0.04";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Aula 004 — Terminal e PowerShell";"004_M0_04_TERMINAL_POWERSHELL_E_COMANDOS_BASICOS.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"5";"M0.05";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Validação Java";"005_M0_05_JDK_JRE_JVM_E_ESCOLHA_DE_VERSAO_LTS.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"6";"M0.06";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"Compilação Manual com `javac`";"006_M0_06_COMPILACAO_MANUAL_COM_JAVAC.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"7";"M0.07";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Atalhos e ações do IntelliJ";"007_M0_07_INTELLIJ_IDEA_COMMUNITY_COMPLETO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"8";"M0.08";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"Debug Inicial no IntelliJ";"008_M0_08_DEBUG_INICIAL_NO_INTELLIJ.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"9";"M0.09";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"Git: Instalação e Configuração Global";"009_M0_09_GIT_INSTALACAO_E_CONFIGURACAO_GLOBAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
