"numero_aula";"arquivo_md";"h1";"titulo_extraido";"tamanho_bytes";"atualizado_em"
"0";"000_AULA_DE_ABERTURA_O_CAMINHO_PARA_SE_TORNAR_ENGENHEIRO_JAVA_BACKEND_ARQUITETO_JAVA.md";"# Aula de Abertura — O Caminho para se Tornar Engenheiro Java Backend e Arquiteto de Sistemas";"# Aula de Abertura — O Caminho para se Tornar Engenheiro Java Backend e Arquiteto de Sistemas";"9063";"2026-07-08 08:53:37"
"1";"001_M0_01_MAPA_DA_FORMACAO_COMPLETA_E_NIVEIS_DE_CARREIRA_JAVA.md";"# 001 — M0.01 — Mapa da Formação Completa e Níveis de Carreira Java";"# 001 — M0.01 — Mapa da Formação Completa e Níveis de Carreira Java";"24308";"2026-07-08 08:53:37"
"2";"002_M0_02_DIAGNOSTICO_INICIAL_TECNICO_E_PLANO_DE_ESTUDO.md";"# Diagnóstico inicial";"# Diagnóstico inicial";"19100";"2026-07-08 08:53:37"
"3";"003_M0_03_ORGANIZACAO_DO_WINDOWS_PARA_DESENVOLVIMENTO.md";"# Formação Java Backend";"# Formação Java Backend";"21778";"2026-07-08 08:53:37"
"4";"004_M0_04_TERMINAL_POWERSHELL_E_COMANDOS_BASICOS.md";"# Aula 004 — Terminal e PowerShell";"# Aula 004 — Terminal e PowerShell";"20922";"2026-07-08 08:53:37"
"5";"005_M0_05_JDK_JRE_JVM_E_ESCOLHA_DE_VERSAO_LTS.md";"# Validação Java";"# Validação Java";"22770";"2026-07-08 08:53:37"
"6";"006_M0_06_COMPILACAO_MANUAL_COM_JAVAC.md";"";"";"22262";"2026-07-08 08:53:37"
"7";"007_M0_07_INTELLIJ_IDEA_COMMUNITY_COMPLETO.md";"# Atalhos e ações do IntelliJ";"# Atalhos e ações do IntelliJ";"24008";"2026-07-08 08:53:37"
"8";"008_M0_08_DEBUG_INICIAL_NO_INTELLIJ.md";"";"";"22773";"2026-07-08 08:53:37"
"9";"009_M0_09_GIT_INSTALACAO_E_CONFIGURACAO_GLOBAL.md";"";"";"21910";"2026-07-08 08:53:37"
"10";"010_M0_10_GIT_LOCAL_DO_ZERO.md";"# Java";"# Java";"20853";"2026-07-08 08:53:37"
"11";"011_M0_11_GITHUB_E_REPOSITORIO_REMOTO.md";"";"";"27117";"2026-07-08 08:53:37"
"12";"012_M0_12_MARKDOWN_PARA_DOCUMENTACAO_TECNICA.md";"# Título";"# Título";"24049";"2026-07-08 08:53:37"
"13";"013_M0_13_DIARIO_DE_BORDO_E_RASTREABILIDADE_DO_APRENDIZADO.md";"# Diário de bordo";"# Diário de bordo";"21552";"2026-07-08 08:53:37"
"14";"014_M0_14_CODEX_IA_NO_INTELLIJ_COM_ETICA_E_METODO.md";"# AGENTS.md";"# AGENTS.md";"31521";"2026-07-08 08:53:37"
"15";"015_M0_15_MAVEN_INSTALACAO_E_VALIDACAO_INICIAL_OFICIAL.md";"# Ambiente de desenvolvimento";"# Ambiente de desenvolvimento";"22064";"2026-07-08 08:53:37"
"16";"016_M0_16_POSTGRESQL_E_DBEAVER_PREPARACAO_OFICIAL.md";"# Ambiente de desenvolvimento";"# Ambiente de desenvolvimento";"22391";"2026-07-08 08:53:37"
"17";"017_M0_17_POSTMAN_INSOMNIA_E_HTTP_BASICO_OFICIAL.md";"# Criar cliente";"# Criar cliente";"27082";"2026-07-08 08:53:37"
"18";"018_M0_18_DOCKER_DESKTOP_E_WSL2_PREPARACAO_OFICIAL.md";"# Checklist — Docker Desktop e WSL2";"# Checklist — Docker Desktop e WSL2";"27261";"2026-07-08 08:53:37"
"19";"019_M0_19_ESTRUTURA_PROFISSIONAL_DO_REPOSITORIO_DE_CURSO_OFICIAL.md";"# Formação Java Backend";"# Formação Java Backend";"22820";"2026-07-08 08:53:37"
"20";"020_M0_20_CHECKLIST_FINAL_DO_AMBIENTE_OFICIAL.md";"# Checklist final do ambiente";"# Checklist final do ambiente";"26876";"2026-07-08 08:53:37"
"21";"021_M1_01_PRIMEIRO_PROGRAMA_JAVA_DESTRINCHADO_OFICIAL.md";"";"";"23204";"2026-07-08 08:53:37"
"22";"022_M1_02_BLOCOS_CHAVES_INDENTACAO_E_LEITURA_DE_CODIGO_OFICIAL.md";"";"";"26514";"2026-07-08 08:53:37"
"23";"023_M1_03_COMENTARIOS_UTEIS_E_DOCUMENTACAO_INICIAL_OFICIAL.md";"# Aula 023 — Comentários úteis";"# Aula 023 — Comentários úteis";"28905";"2026-07-08 08:53:37"
"24";"024_M1_04_VARIAVEIS_E_NOMES_PROFISSIONAIS_OFICIAL.md";"";"";"26530";"2026-07-08 08:53:37"
"25";"025_M1_05_TIPOS_INTEIROS_EM_JAVA_OFICIAL.md";"";"";"23183";"2026-07-08 08:53:37"
"26";"026_M1_06_TIPOS_DECIMAIS_E_PRIMEIRAS_LIMITACOES_OFICIAL.md";"";"";"26299";"2026-07-08 08:53:37"
"27";"027_M1_07_BOOLEAN_E_REGRAS_VERDADEIRAS_FALSAS_OFICIAL.md";"";"";"25745";"2026-07-08 08:53:37"
"28";"028_M1_08_CHAR_E_STRING_EM_USO_INICIAL_OFICIAL.md";"";"";"23781";"2026-07-08 08:53:37"
"29";"029_M1_09_STRING_BASICA_OFICIAL.md";"";"";"27657";"2026-07-08 08:53:37"
"30";"030_M1_10_ENTRADA_DE_DADOS_COM_SCANNER_OFICIAL.md";"";"";"30458";"2026-07-08 08:53:37"
"31";"031_M1_11_OPERADORES_ARITMETICOS_OFICIAL.md";"";"";"28282";"2026-07-08 08:53:37"
"32";"032_M1_12_OPERADORES_RELACIONAIS_OFICIAL.md";"";"";"32325";"2026-07-08 08:53:37"
"33";"033_M1_13_OPERADORES_LOGICOS_OFICIAL.md";"# 033 — M1.13 — Operadores lógicos";"# 033 — M1.13 — Operadores lógicos";"14759";"2026-07-08 08:53:37"
"34";"034_M1_14_INCREMENTO_DECREMENTO_E_ACUMULADORES_OFICIAL.md";"# 034 — M1.14 — Incremento, decremento e acumuladores";"# 034 — M1.14 — Incremento, decremento e acumuladores";"14629";"2026-07-08 08:53:37"
"35";"035_M1_15_IF_ELSE_IF_E_ELSE_OFICIAL.md";"# 035 — M1.15 — If, else if e else";"# 035 — M1.15 — If, else if e else";"13529";"2026-07-08 08:53:37"
"36";"036_M1_16_IFS_ANINHADOS_E_SIMPLIFICACAO_OFICIAL.md";"";"";"34552";"2026-07-08 08:53:37"
"37";"037_M1_17_SWITCH_TRADICIONAL_OFICIAL.md";"";"";"35287";"2026-07-08 08:53:37"
"38";"038_M1_18_SWITCH_MODERNO_E_EXPRESSOES_OFICIAL.md";"";"";"31662";"2026-07-08 08:53:37"
"39";"039_M1_19_WHILE_OFICIAL.md";"";"";"31270";"2026-07-08 08:53:37"
"40";"040_M1_20_DO_WHILE_OFICIAL.md";"";"";"35350";"2026-07-08 08:53:37"
"41";"041_M1_21_FOR_CLASSICO_OFICIAL.md";"";"";"32842";"2026-07-08 08:53:37"
"42";"042_M1_22_BREAK_E_CONTINUE_OFICIAL.md";"";"";"40254";"2026-07-08 08:53:37"
"43";"043_M1_23_LACOS_ANINHADOS_OFICIAL.md";"";"";"41016";"2026-07-08 08:53:37"
