"numero_aula";"codigo_aula";"modulo";"nome_modulo";"status_aula";"tipo_aula";"titulo_aula";"arquivo_md";"conteudo_principal";"fonte_decisao";"regra_continuidade"
"636";"M19.26";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"PACELC";"636_M19_26_PACELC_OFICIAL.md";"Aula planejada: PACELC. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"637";"M19.27";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Idempotencia avancada";"637_M19_27_IDEMPOTENCIA_AVANCADA_OFICIAL.md";"Aula planejada: Idempotencia avancada. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"638";"M19.28";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Multi tenancy arquitetura";"638_M19_28_MULTI_TENANCY_ARQUITETURA_OFICIAL.md";"Aula planejada: Multi tenancy arquitetura. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"639";"M19.29";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Escalabilidade horizontal vertical";"639_M19_29_ESCALABILIDADE_HORIZONTAL_VERTICAL_OFICIAL.md";"Aula planejada: Escalabilidade horizontal vertical. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"640";"M19.30";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Resiliencia arquitetural";"640_M19_30_RESILIENCIA_ARQUITETURAL_OFICIAL.md";"Aula planejada: Resiliencia arquitetural. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"641";"M19.31";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Design de sistemas parte 1";"641_M19_31_DESIGN_DE_SISTEMAS_PARTE_1_OFICIAL.md";"Aula planejada: Design de sistemas parte 1. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"642";"M19.32";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Design de sistemas parte 2";"642_M19_32_DESIGN_DE_SISTEMAS_PARTE_2_OFICIAL.md";"Aula planejada: Design de sistemas parte 2. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"643";"M19.33";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Trade offs tecnicos";"643_M19_33_TRADE_OFFS_TECNICOS_OFICIAL.md";"Aula planejada: Trade offs tecnicos. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"644";"M19.34";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"ADR";"644_M19_34_ADR_OFICIAL.md";"Aula planejada: ADR. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"645";"M19.35";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"RFC tecnico";"645_M19_35_RFC_TECNICO_OFICIAL.md";"Aula planejada: RFC tecnico. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"646";"M19.36";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"C4 Model";"646_M19_36_C4_MODEL_OFICIAL.md";"Aula planejada: C4 Model. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"647";"M19.37";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Fitness functions arquiteturais";"647_M19_37_FITNESS_FUNCTIONS_ARQUITETURAIS_OFICIAL.md";"Aula planejada: Fitness functions arquiteturais. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"648";"M19.38";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"ArchUnit avancado";"648_M19_38_ARCHUNIT_AVANCADO_OFICIAL.md";"Aula planejada: ArchUnit avancado. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"649";"M19.39";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Evolucao controlada da arquitetura";"649_M19_39_EVOLUCAO_CONTROLADA_DA_ARQUITETURA_OFICIAL.md";"Aula planejada: Evolucao controlada da arquitetura. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"650";"M19.40";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Modernizacao de legado";"650_M19_40_MODERNIZACAO_DE_LEGADO_OFICIAL.md";"Aula planejada: Modernizacao de legado. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"651";"M19.41";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Strangler Fig";"651_M19_41_STRANGLER_FIG_OFICIAL.md";"Aula planejada: Strangler Fig. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"652";"M19.42";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Microservicos com criterio";"652_M19_42_MICROSERVICOS_COM_CRITERIO_OFICIAL.md";"Aula planejada: Microservicos com criterio. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"653";"M19.43";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Anti patterns de microservicos";"653_M19_43_ANTI_PATTERNS_DE_MICROSERVICOS_OFICIAL.md";"Aula planejada: Anti patterns de microservicos. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"654";"M19.44";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Transacoes distribuidas e Saga revisitada";"654_M19_44_TRANSACOES_DISTRIBUIDAS_E_SAGA_REVISITADA_OFICIAL.md";"Aula planejada: Transacoes distribuidas e Saga revisitada. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"655";"M19.45";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Observabilidade como decisao arquitetural";"655_M19_45_OBSERVABILIDADE_COMO_DECISAO_ARQUITETURAL_OFICIAL.md";"Aula planejada: Observabilidade como decisao arquitetural. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"656";"M19.46";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Seguranca como decisao arquitetural";"656_M19_46_SEGURANCA_COMO_DECISAO_ARQUITETURAL_OFICIAL.md";"Aula planejada: Seguranca como decisao arquitetural. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
